0.017948,0.14541,2.2408,0.020272,1.9839,0.88536,5.3852
0.018799,0.15282,2.2017,0.02112,1.9597,0.89008,5.3287
0.017293,0.11452,2.2976,0.019457,2.042,0.88876,5.3951
0.016986,0.087793,2.3576,0.019085,2.0983,0.89002,5.4703
0.016175,0.035664,2.5009,0.018229,2.2191,0.88731,5.5061
0.016633,0.066495,2.413,0.018945,2.1184,0.87792,5.4323
0.016633,0.084318,2.3539,0.018728,2.0906,0.88814,5.4954
0.017697,0.11868,2.2761,0.01984,2.0302,0.89199,5.5505
0.017962,0.16277,2.1675,0.020062,1.9407,0.89534,5.4618
0.018648,0.21843,2.0352,0.020514,1.8502,0.90907,5.3959
0.018989,0.23605,1.9881,0.020751,1.8193,0.91509,5.3884
0.019834,0.28142,1.8891,0.021631,1.7322,0.91692,5.2026
0.021109,0.32361,1.7628,0.022971,1.6199,0.91893,4.8745
0.021793,0.34365,1.7297,0.023748,1.5874,0.91769,4.7421
0.018556,0.31794,1.8645,0.020263,1.7074,0.91578,4.8825
0.01511,0.24035,2.1526,0.016534,1.9671,0.91384,5.4153
0.013994,0.20538,2.2617,0.015268,2.0728,0.9165,5.6197
0.01146,0.046685,2.7344,0.012501,2.5066,0.91671,6.0494
0.010917,0.024004,3.1495,0.011845,2.9026,0.92161,6.0702
0.010787,0.016118,3.1743,0.011725,2.9204,0.92002,6.1121
0.011328,0.034574,2.8306,0.012334,2.5998,0.91846,6.0782
0.011317,0.00077477,3.213,0.012389,2.935,0.9135,6.0738
0.011889,0.038228,2.8514,0.013062,2.5953,0.91018,5.9957
0.0015029,0.30659,1.4692,0.0016416,1.3451,0.91553,4.6665
0.034406,1.6067,0.14201,0.037489,0.13033,0.91776,5.1995
0.013662,0.019254,3.894,0.015035,3.5384,0.9087,5.6311
0.053112,1.9139,0.11808,0.058885,0.1065,0.90195,5.0527
0.044894,1.1236,0.20312,0.049673,0.18358,0.90381,4.8051
0.070527,1.7999,0.1251,0.078801,0.11196,0.895,4.7061
