0,-9.6636e-05,-0.016865,-0.046792,-0.078264,-0.10974,-0.13348,-0.13203,-0.11157,-0.08296,-0.043484,0.0041402,0.051765,0.083092,0.10355,0.11315,0.10917,0.083876,0.055495,0.020932,-0.010914
-2.8422e-14,0.0049499,-0.0092014,-0.039471,-0.071264,-0.10153,-0.12724,-0.13168,-0.11429,-0.088715,-0.049498,-0.0020935,0.04531,0.076342,0.099187,0.11385,0.1094,0.085227,0.057685,0.025892,-0.0062179
0,0.0039808,-0.0059963,-0.036073,-0.066151,-0.097763,-0.12323,-0.13168,-0.11681,-0.091053,-0.054412,-0.0068833,0.040645,0.071843,0.097598,0.11247,0.11372,0.092511,0.066691,0.035079,0.00039483
-2.8422e-14,0.0099988,0.00079898,-0.024118,-0.053275,-0.086926,-0.11459,-0.12927,-0.12052,-0.098049,-0.064612,-0.01746,0.029691,0.065871,0.091081,0.10806,0.11407,0.093651,0.070232,0.038079,0.0041752
2.8422e-14,0.010095,0.0010139,-0.021065,-0.051629,-0.083698,-0.11126,-0.12732,-0.1212,-0.098643,-0.065129,-0.020657,0.023814,0.062807,0.090842,0.10792,0.11404,0.096472,0.070418,0.039854,0.0060131
0,0.0099093,0.0020913,-0.019933,-0.050672,-0.082903,-0.11066,-0.12695,-0.12104,-0.095912,-0.06529,-0.020941,0.023409,0.062267,0.087397,0.10704,0.11295,0.096652,0.068898,0.036667,0.0041963
0,0.021004,0.014071,-0.0054435,-0.037547,-0.071051,-0.10035,-0.12266,-0.11842,-0.10021,-0.070825,-0.027471,0.015883,0.053649,0.080241,0.098452,0.10549,0.090166,0.062264,0.027366,-0.0089383
0,0.022393,0.016847,-0.0012744,-0.031983,-0.066892,-0.096201,-0.11852,-0.11707,-0.10166,-0.072282,-0.031726,0.011624,0.049386,0.078767,0.099766,0.104,0.090074,0.062165,0.030056,-0.0034585
0,0.014576,0.013941,-0.00066784,-0.030789,-0.063784,-0.092468,-0.11828,-0.11891,-0.1029,-0.07301,-0.034799,0.0089622,0.049948,0.077061,0.1014,0.10909,0.10147,0.07422,0.044099,0.0095656
-2.8422e-14,0.027625,0.024362,0.014112,-0.014292,-0.049554,-0.080701,-0.10773,-0.11661,-0.10446,-0.078276,-0.043663,-0.0034352,0.039601,0.071405,0.094786,0.10693,0.10224,0.073831,0.044055,0.0088582
